layer,sep_score
1,0.6033333333333333
2,0.5983333333333334
3,0.5883333333333334
4,0.585
5,0.565
6,0.5816666666666668
7,0.605
8,0.5900000000000001
9,0.575
10,0.5433333333333333
11,0.5416666666666667
12,0.8016666666666665
13,0.8083333333333333
14,0.8016666666666667
15,0.8033333333333333
16,0.7966666666666666
17,0.7783333333333332
18,0.7699999999999999
19,0.775
20,0.7683333333333333
21,0.7666666666666667
22,0.7683333333333333
23,0.7566666666666666
24,0.7616666666666667
25,0.76
26,0.76
27,0.7566666666666666
28,0.7350000000000001
29,0.7366666666666667
30,0.7316666666666667
31,0.7366666666666667
